step,epoch,time_s,loss,lr,grad_norm,vram_gb,peak_vram_gb,sec_per_step
3420,4,28632,0.037675,7.56e-05,0.0573,4.25,7.80,8.4
3430,4,28734,0.034965,7.55e-05,0.0512,4.25,7.80,8.4
3440,4,28827,0.051117,7.54e-05,0.1347,4.25,7.80,8.4
3450,4,28903,0.045618,7.52e-05,0.0651,4.25,7.80,8.4
3460,4,28979,0.051281,7.51e-05,0.0675,4.25,7.80,8.4
3470,4,29055,0.053950,7.50e-05,0.0605,4.25,7.80,8.4
3480,4,29132,0.037088,7.48e-05,0.0611,4.25,7.80,8.4
3490,4,29208,0.032073,7.47e-05,0.0297,4.25,7.80,8.4
3500,4,29283,0.041491,7.45e-05,0.0542,4.25,7.80,8.4
3510,4,29360,0.033287,7.44e-05,0.0328,4.25,7.80,8.4
3520,4,29435,0.036987,7.43e-05,0.0390,4.25,7.80,8.3
3530,4,29511,0.041467,7.41e-05,0.0365,4.25,7.80,8.3
3540,4,29587,0.044044,7.40e-05,0.0619,4.25,7.80,8.3
3550,4,29662,0.043885,7.38e-05,0.1219,4.25,7.80,8.3
3560,4,29737,0.037911,7.37e-05,0.0335,4.25,7.80,8.3
3570,4,29813,0.038342,7.36e-05,0.0604,4.25,7.80,8.3
3580,4,29888,0.059391,7.34e-05,0.0359,4.25,7.80,8.3
3590,4,29964,0.057775,7.33e-05,0.0826,4.25,7.80,8.3
3600,4,30039,0.033089,7.31e-05,0.0288,4.25,7.80,8.3
3610,4,30114,0.047104,7.30e-05,0.0501,4.25,7.80,8.3
3620,4,30190,0.041041,7.28e-05,0.0514,4.25,7.80,8.3
3630,4,30265,0.029068,7.27e-05,0.0241,4.25,7.80,8.3
3640,4,30340,0.044531,7.26e-05,0.0407,4.25,7.80,8.3
3650,4,30416,0.054875,7.24e-05,0.0723,4.25,7.80,8.3
3660,4,30491,0.035036,7.23e-05,0.0456,4.25,7.80,8.3
3670,4,30566,0.040759,7.21e-05,0.0504,4.25,7.80,8.3
3680,4,30642,0.034145,7.20e-05,0.0358,4.25,7.80,8.3
3690,4,30717,0.040945,7.18e-05,0.0585,4.25,7.80,8.3
3700,4,30792,0.032298,7.17e-05,0.0330,4.25,7.80,8.3
3710,5,30871,0.039207,7.15e-05,0.0483,4.25,7.80,8.3
3720,5,30946,0.046031,7.14e-05,0.0506,4.25,7.80,8.3
3730,5,31022,0.036342,7.13e-05,0.0406,4.25,7.80,8.3
3740,5,31097,0.040291,7.11e-05,0.0428,4.25,7.80,8.3
3750,5,31172,0.027597,7.10e-05,0.0290,4.25,7.80,8.3
